,no_of_months,no_of_commits,congruences
0,1,53,0.6
1,2,22,0.5
2,3,30,0.3333333333333333
3,4,26,0.5
4,5,16,0.6
5,6,30,0.3333333333333333
6,7,40,0.4782608695652174
7,8,27,0.5
8,9,71,0.4666666666666667
9,10,79,0.4805194805194805
10,11,67,0.32432432432432434
11,12,59,0.5604395604395604
12,13,40,0.5416666666666666
13,14,26,0.5416666666666666
14,15,43,0.5172413793103449
15,16,62,0.6666666666666666
16,17,58,0.5365853658536586
17,18,59,0.5512820512820513
18,19,32,0.4444444444444444
19,20,421,0.7196095829636202
20,21,136,0.6166134185303515
21,22,105,0.5543175487465181
22,23,77,0.6265060240963856
23,24,119,0.5540355677154583
24,25,135,0.5509554140127388
25,26,122,0.577259475218659
26,27,77,0.5714285714285714
27,28,94,0.6534181240063593
28,29,109,0.6467991169977925
29,30,127,0.6122994652406417
30,31,96,0.8596938775510204
31,32,101,0.5799782372143635
32,33,122,0.6420118343195266
33,34,115,0.7341549295774648
34,35,132,0.6117886178861789
35,36,113,0.6463560334528077
36,37,120,0.6085106382978723
37,38,118,0.6819787985865724
38,39,133,0.6093609360936093
39,40,109,0.7344398340248963
40,41,127,0.7161981258366801
41,42,122,0.7462783171521036
42,43,169,0.6780487804878049
43,44,193,0.6826229508196722
44,45,169,0.7517162471395881
45,46,153,0.6385362210604929
46,47,132,0.6221616712079927
47,48,143,0.7560321715817694
48,49,141,0.7202797202797203
49,50,130,0.7861466039004708
50,51,158,0.7903930131004366
51,52,122,0.6275303643724697
52,53,98,0.5876623376623377
53,54,125,0.5201900237529691
54,55,139,0.5764705882352941
55,56,128,0.7915469839967173
56,57,131,0.6500607533414338
57,58,131,0.7478260869565218
58,59,161,0.719762062128222
59,60,131,0.7297811607992388
60,61,195,0.6988009592326139
61,62,183,0.6136114160263447
62,63,190,0.6555555555555556
63,64,103,0.5972413793103448
