,no_of_months,no_of_commits,congruences
0,1,17,0.5
1,2,19,1.0
2,3,15,1.0
3,4,10,1.0
4,5,21,0.5
5,6,16,0.375
6,7,13,0.5
7,8,30,1.0
8,9,25,0.5
9,10,16,0.5
10,11,17,0.5555555555555556
11,12,27,0.5
12,13,12,0.3333333333333333
13,14,24,0.2
14,15,25,0.38461538461538464
15,16,40,0.35135135135135137
16,17,23,0.44
17,18,68,0.3888888888888889
18,19,51,0.3076923076923077
19,20,32,0.3125
20,21,36,0.52
21,22,71,0.30612244897959184
22,23,37,0.42857142857142855
23,24,14,0.6666666666666666
24,25,32,0.30434782608695654
25,26,23,0.5
26,27,49,0.3333333333333333
27,28,65,0.42857142857142855
28,29,68,0.373134328358209
29,30,65,0.5151515151515151
30,31,80,0.4444444444444444
31,32,6,0.6666666666666666
32,33,45,0.2765957446808511
33,34,59,0.38461538461538464
34,35,47,0.3333333333333333
35,36,54,0.41379310344827586
36,37,62,0.22807017543859648
37,38,45,0.2857142857142857
38,39,72,0.5374149659863946
39,40,56,0.4619289340101523
40,41,78,0.6103896103896104
41,42,94,0.2911392405063291
42,43,120,0.391304347826087
43,44,41,0.5079365079365079
44,45,70,0.39473684210526316
45,46,66,0.47126436781609193
46,47,52,0.31343283582089554
47,48,46,0.4444444444444444
48,49,72,0.375
49,50,62,0.34375
50,51,55,0.4634146341463415
51,52,62,0.375
52,53,61,0.4588235294117647
53,54,97,0.3902439024390244
54,55,105,0.30952380952380953
55,56,59,0.37254901960784315
56,57,34,0.5769230769230769
57,58,64,0.40594059405940597
58,59,86,0.3150684931506849
59,60,47,0.4
60,61,58,0.5142857142857142
61,62,37,0.5333333333333333
62,63,39,0.5714285714285714
63,64,60,0.4878048780487805
64,65,46,0.36
65,66,35,0.55
66,67,25,0.41935483870967744
67,68,40,0.5897435897435898
68,69,72,0.4461538461538462
69,70,84,0.3902439024390244
70,71,37,0.44
71,72,43,0.4482758620689655
72,73,64,0.2978723404255319
73,74,19,0.3333333333333333
74,75,32,0.38461538461538464
75,76,17,0.75
76,77,28,0.5058823529411764
77,78,52,0.28735632183908044
78,79,27,0.5094339622641509
79,80,27,0.5471698113207547
80,81,18,0.5652173913043478
81,82,34,0.5510204081632653
82,83,11,0.625
83,84,14,0.5384615384615384
84,85,13,0.5833333333333334
85,86,22,0.5
86,87,4,1.0
87,88,4,1.0
88,89,6,1.0
89,90,64,0.5172413793103449
90,91,43,0.4782608695652174
91,92,23,0.35714285714285715
92,93,18,0.6
93,94,15,0.5555555555555556
94,95,18,0.5
95,96,6,1.0
96,97,10,0.4
97,98,7,1.0
98,99,10,0.75
99,100,14,0.6
100,101,6,0.6666666666666666
101,102,2,1.0
102,103,2,1.0
103,104,4,1.0
104,105,5,0.6
105,106,7,1.0
106,107,8,1.0
107,108,2,1.0
108,109,0,0.0
