,no_of_months,no_of_commits,congruences
0,1,408,0.5555555555555556
1,2,28,0.5555555555555556
2,3,25,0.3333333333333333
3,4,54,0.42857142857142855
4,5,31,0.5555555555555556
5,6,34,0.6
6,7,66,0.5
7,8,29,0.5555555555555556
8,9,50,0.3333333333333333
9,10,40,0.42857142857142855
10,11,27,0.5
11,12,63,0.3333333333333333
12,13,42,0.4
13,14,85,0.25
14,15,53,0.3333333333333333
15,16,43,0.3333333333333333
16,17,105,0.3333333333333333
17,18,44,0.3333333333333333
18,19,50,0.42857142857142855
19,20,49,0.45454545454545453
20,21,87,0.5
21,22,22,0.42857142857142855
22,23,107,0.375
23,24,35,0.4
24,25,105,0.29411764705882354
25,26,120,0.40425531914893614
26,27,75,0.4666666666666667
27,28,33,0.48148148148148145
28,29,70,0.35714285714285715
29,30,125,0.3968253968253968
30,31,66,0.42857142857142855
31,32,110,0.3333333333333333
32,33,170,0.3090909090909091
33,34,71,0.48717948717948717
34,35,78,0.3584905660377358
35,36,25,0.3333333333333333
36,37,30,0.38461538461538464
37,38,15,0.5
38,39,3,1.0
39,40,0,0.0
