,no_of_months,no_of_commits,congruences
0,1,4,1.0
1,2,61,1.0
2,3,63,0.5
3,4,28,1.0
4,5,32,1.0
5,6,32,0.5
6,7,28,1.0
7,8,11,0.5
8,9,15,0.5
9,10,8,1.0
10,11,5,0.5
11,12,6,1.0
12,13,10,1.0
13,14,25,1.0
14,15,6,1.0
15,16,6,1.0
16,17,8,0.5
17,18,16,0.5
18,19,10,1.0
19,20,5,1.0
20,21,8,1.0
21,22,45,1.0
22,23,21,1.0
23,24,14,1.0
24,25,20,1.0
25,26,26,1.0
26,27,18,1.0
27,28,17,1.0
28,29,25,0.5
29,30,9,0.5
30,31,18,1.0
31,32,16,0.5
32,33,34,0.5
33,34,42,0.3333333333333333
34,35,21,0.5
35,36,27,0.42857142857142855
36,37,37,0.3333333333333333
37,38,17,0.3333333333333333
38,39,48,0.6666666666666666
39,40,45,0.25
40,41,50,0.25
41,42,13,0.2857142857142857
42,43,22,0.5555555555555556
43,44,40,0.6
44,45,40,0.6
45,46,29,0.375
46,47,15,1.0
47,48,15,0.4
48,49,25,0.375
49,50,11,1.0
50,51,11,0.5
51,52,18,0.3333333333333333
52,53,14,0.4
53,54,24,0.25
54,55,27,0.3888888888888889
55,56,5,0.6
56,57,18,0.3333333333333333
57,58,37,0.3333333333333333
58,59,36,0.29411764705882354
59,60,35,0.5
60,61,6,0.5
61,62,9,0.5
62,63,10,1.0
63,64,14,1.0
64,65,6,0.3333333333333333
65,66,2,1.0
66,67,11,0.5
67,68,15,1.0
68,69,38,1.0
69,70,37,1.0
70,71,21,1.0
71,72,5,1.0
72,73,9,0.5
73,74,12,1.0
74,75,4,1.0
75,76,12,0.5
76,77,7,0.5
77,78,2,0.5
78,79,2,0.5
79,80,0,0.0
