,no_of_months,no_of_commits,congruences
0,1,66,0.3333333333333333
1,2,49,0.5
2,3,7,1.0
3,4,56,0.5294117647058824
4,5,9,0.6
5,6,20,0.6666666666666666
6,7,42,0.37142857142857144
7,8,3,1.0
8,9,10,0.6666666666666666
9,10,19,0.4666666666666667
10,11,8,0.4
11,12,62,0.5789473684210527
12,13,13,0.6666666666666666
13,14,2,1.0
14,15,13,0.30434782608695654
15,16,12,0.36
16,17,8,0.5294117647058824
17,18,2,1.0
18,19,4,1.0
19,20,2,1.0
20,21,2,1.0
21,22,2,1.0
22,23,2,1.0
23,24,2,1.0
24,25,5,1.0
25,26,16,0.6
26,27,3,1.0
