,no_of_months,no_of_commits,congruences
0,1,2,1.0
1,2,11,1.0
2,3,11,1.0
3,4,8,0.5
4,5,13,1.0
5,6,22,0.5
6,7,18,0.5
7,8,30,0.5
8,9,16,0.5
9,10,6,1.0
10,11,13,0.5555555555555556
11,12,7,1.0
12,13,4,1.0
13,14,13,0.5
14,15,13,1.0
15,16,12,0.5
16,17,88,0.28
17,18,2,1.0
18,19,55,0.5555555555555556
19,20,35,0.5
20,21,19,0.5555555555555556
21,22,53,0.4
22,23,32,0.5
23,24,22,0.5
24,25,10,1.0
25,26,28,0.2
26,27,18,0.4
27,28,8,0.3333333333333333
28,29,51,0.375
29,30,94,0.3333333333333333
30,31,55,0.5555555555555556
31,32,32,0.3333333333333333
32,33,8,0.6
33,34,2,1.0
