,no_of_months,no_of_commits,congruences
0,1,18,1.0
1,2,119,1.0
2,3,47,1.0
3,4,64,1.0
4,5,29,0.5
5,6,42,1.0
6,7,66,1.0
7,8,93,0.375
8,9,34,0.5
9,10,232,0.5
10,11,372,0.37142857142857144
11,12,371,0.26666666666666666
12,13,239,0.35135135135135137
13,14,53,0.6666666666666666
14,15,71,0.625
15,16,146,0.5
16,17,100,0.5
17,18,71,0.42857142857142855
18,19,98,0.5609756097560976
19,20,137,0.42857142857142855
20,21,81,0.6
21,22,36,1.0
22,23,130,0.2631578947368421
23,24,76,0.45454545454545453
24,25,112,0.46153846153846156
25,26,199,0.5555555555555556
26,27,70,0.5555555555555556
27,28,71,0.5
28,29,96,0.5555555555555556
29,30,3,1.0
30,31,32,0.5
31,32,44,0.6
32,33,148,0.625
33,34,83,0.6666666666666666
34,35,76,0.42857142857142855
35,36,120,0.44
36,37,124,0.5384615384615384
37,38,144,0.375
38,39,80,0.5555555555555556
39,40,97,0.38461538461538464
40,41,93,0.5
41,42,51,0.5
42,43,57,0.5555555555555556
43,44,14,1.0
44,45,40,0.3333333333333333
45,46,74,0.25
46,47,51,0.4
47,48,22,0.5714285714285714
48,49,73,0.5714285714285714
49,50,48,0.3333333333333333
50,51,76,0.2857142857142857
51,52,34,0.5
52,53,55,0.6
53,54,50,0.5
54,55,58,0.5
55,56,50,0.5
56,57,24,1.0
57,58,45,1.0
58,59,15,1.0
59,60,28,0.5
60,61,23,1.0
61,62,9,1.0
62,63,17,1.0
63,64,7,1.0
64,65,3,1.0
65,66,0,0.0
