,no_of_months,no_of_commits,congruences
0,1,111,0.6307692307692307
1,2,214,0.575
2,3,150,0.45985401459854014
3,4,73,0.5
4,5,56,0.6
5,6,66,0.5
6,7,32,0.23076923076923078
7,8,35,0.5384615384615384
8,9,72,0.5384615384615384
9,10,50,0.6
10,11,20,1.0
11,12,30,0.5
12,13,46,1.0
13,14,11,1.0
14,15,15,1.0
15,16,47,0.5
16,17,24,0.4
17,18,31,0.5
18,19,115,0.5
19,20,86,0.5
20,21,31,0.5
21,22,27,0.5
22,23,20,0.5
23,24,20,0.3333333333333333
24,25,3,1.0
25,26,3,0.5
26,27,4,1.0
27,28,6,0.5
