,no_of_months,no_of_commits,congruences
0,1,68,0.3333333333333333
1,2,90,0.5294117647058824
2,3,182,0.25
3,4,118,0.3333333333333333
4,5,59,0.46153846153846156
5,6,127,0.22448979591836735
6,7,119,0.2
7,8,141,0.2222222222222222
8,9,146,0.3548387096774194
9,10,127,0.25
10,11,52,0.4838709677419355
11,12,44,0.5319148936170213
12,13,117,0.2903225806451613
13,14,137,0.28125
14,15,58,0.4857142857142857
15,16,46,0.5
16,17,29,0.52
17,18,134,0.48
18,19,133,0.3617021276595745
19,20,84,0.5324675324675324
20,21,17,0.6666666666666666
21,22,18,0.5
22,23,17,0.68
23,24,22,0.45454545454545453
24,25,15,0.6363636363636364
25,26,7,0.5
26,27,13,0.5714285714285714
27,28,8,0.4
28,29,15,0.5384615384615384
29,30,10,1.0
30,31,14,0.5
31,32,24,0.3333333333333333
32,33,3,1.0
33,34,7,0.6666666666666666
34,35,4,1.0
35,36,6,1.0
36,37,14,0.6
37,38,4,1.0
38,39,6,1.0
39,40,2,1.0
40,41,5,1.0
41,42,5,0.6
42,43,2,1.0
43,44,2,1.0
