,no_of_months,no_of_commits,congruences
0,1,151,1.0
1,2,8,1.0
2,3,15,0.6
3,4,11,0.6
4,5,16,0.5
5,6,7,1.0
6,7,4,1.0
7,8,14,0.5555555555555556
8,9,12,0.3333333333333333
9,10,5,1.0
10,11,8,0.5
11,12,8,0.6
12,13,38,0.3333333333333333
13,14,47,0.23809523809523808
14,15,25,0.5652173913043478
15,16,15,0.36
16,17,2,1.0
17,18,17,0.5555555555555556
18,19,8,0.6
19,20,23,0.25
20,21,20,0.6
21,22,20,0.375
22,23,25,0.44
23,24,26,0.6
24,25,23,0.5
25,26,5,0.5
26,27,12,0.5
27,28,6,0.6
28,29,3,1.0
29,30,7,0.6
30,31,14,0.3333333333333333
31,32,2,1.0
32,33,4,1.0
33,34,4,1.0
