,no_of_months,no_of_commits,congruences
0,1,110,0.38271604938271603
1,2,227,0.36363636363636365
2,3,136,0.08333333333333333
3,4,58,0.13580246913580246
4,5,26,0.2231404958677686
5,6,33,0.13402061855670103
6,7,13,0.5294117647058824
7,8,31,0.40625
8,9,4,0.3333333333333333
9,10,27,0.4375
10,11,37,0.6666666666666666
11,12,8,0.3333333333333333
12,13,3,1.0
13,14,44,0.46153846153846156
14,15,51,0.375
15,16,32,0.46153846153846156
16,17,16,0.3333333333333333
17,18,8,1.0
18,19,20,0.5
19,20,7,1.0
20,21,22,0.3333333333333333
21,22,17,0.5555555555555556
22,23,4,0.5
23,24,5,1.0
24,25,7,0.6
25,26,16,0.3333333333333333
26,27,2,0.5
27,28,3,0.6
28,29,2,1.0
29,30,0,0.0
