,no_of_months,no_of_commits,congruences
0,1,92,0.46938775510204084
1,2,133,0.3333333333333333
2,3,111,0.3103448275862069
3,4,44,0.3333333333333333
4,5,18,1.0
5,6,6,1.0
6,7,12,1.0
7,8,31,0.6666666666666666
8,9,63,0.6
9,10,44,0.5555555555555556
10,11,52,0.38461538461538464
11,12,86,0.28
12,13,44,0.625
13,14,95,0.35135135135135137
14,15,25,0.6
15,16,20,0.25
16,17,17,1.0
17,18,33,0.42857142857142855
18,19,11,1.0
19,20,27,0.3333333333333333
20,21,10,0.6
21,22,5,1.0
22,23,10,0.6
23,24,26,0.42857142857142855
24,25,2,0.5
25,26,7,1.0
26,27,10,1.0
27,28,2,1.0
28,29,3,1.0
29,30,8,0.6666666666666666
30,31,8,0.7142857142857143
31,32,8,1.0
32,33,4,1.0
33,34,7,0.5
34,35,6,0.6
35,36,8,0.4
36,37,9,0.42857142857142855
37,38,15,0.3333333333333333
38,39,3,1.0
39,40,12,0.5
40,41,9,1.0
41,42,3,1.0
42,43,3,1.0
43,44,2,1.0
