,no_of_months,no_of_commits,congruences
0,1,135,0.28
1,2,102,0.29411764705882354
2,3,97,0.14285714285714285
3,4,164,0.3888888888888889
4,5,217,0.2
5,6,147,0.16666666666666666
6,7,288,0.25806451612903225
7,8,65,0.46153846153846156
8,9,4,1.0
9,10,41,0.4
10,11,83,0.38461538461538464
11,12,85,0.35294117647058826
12,13,55,0.23076923076923078
13,14,53,0.36
14,15,47,0.3333333333333333
15,16,22,1.0
16,17,13,1.0
17,18,12,0.6
18,19,18,0.6
19,20,89,0.6
20,21,36,1.0
21,22,2,1.0
22,23,36,0.5
23,24,23,0.6363636363636364
24,25,9,1.0
25,26,8,0.4
26,27,20,0.6666666666666666
27,28,18,0.5
28,29,19,0.6
29,30,3,1.0
30,31,18,0.5
31,32,16,1.0
32,33,4,1.0
33,34,6,1.0
34,35,8,1.0
35,36,5,1.0
36,37,4,0.6
37,38,2,1.0
