,no_of_months,no_of_commits,congruences
0,1,88,0.3888888888888889
1,2,170,0.34375
2,3,125,0.3333333333333333
3,4,58,0.5
4,5,49,0.5
5,6,42,0.3333333333333333
6,7,39,0.6666666666666666
7,8,45,0.5
8,9,43,0.375
9,10,57,0.3333333333333333
10,11,86,0.5
11,12,53,0.5
12,13,49,0.5
13,14,27,0.3333333333333333
14,15,70,0.3333333333333333
15,16,68,0.5
16,17,54,0.3333333333333333
17,18,30,0.25
18,19,6,1.0
19,20,17,0.6
20,21,18,0.5
21,22,10,0.5
22,23,29,0.5555555555555556
23,24,15,0.3333333333333333
24,25,14,0.5
25,26,11,0.25
26,27,19,0.3333333333333333
27,28,4,1.0
28,29,12,1.0
29,30,2,1.0
30,31,34,0.5
31,32,17,0.5
32,33,20,0.5
33,34,13,1.0
34,35,12,0.6
35,36,8,0.5
36,37,2,1.0
37,38,8,0.3333333333333333
38,39,5,1.0
39,40,2,0.5
40,41,17,0.6
41,42,17,0.25
42,43,26,0.625
43,44,5,0.5
44,45,63,0.42857142857142855
45,46,7,0.5
46,47,6,1.0
47,48,3,0.5
