,no_of_months,no_of_commits,congruences
0,1,1,0.0
1,2,9,0.5
2,3,19,1.0
3,4,10,1.0
4,5,13,1.0
5,6,12,1.0
6,7,17,1.0
7,8,7,0.5
8,9,4,1.0
9,10,10,1.0
10,11,8,1.0
11,12,9,0.5
12,13,6,1.0
13,14,7,0.5555555555555556
14,15,4,1.0
15,16,52,0.42857142857142855
16,17,13,0.6
17,18,17,1.0
18,19,22,0.5714285714285714
19,20,17,0.5555555555555556
20,21,4,0.6
21,22,6,1.0
22,23,15,0.5
23,24,41,0.4666666666666667
24,25,4,0.5
25,26,4,0.5
26,27,5,0.3333333333333333
27,28,22,0.6
28,29,6,0.5
29,30,11,0.6
30,31,9,1.0
31,32,7,1.0
32,33,3,0.5
33,34,3,1.0
34,35,8,0.3333333333333333
35,36,0,0.0
