,no_of_months,no_of_commits,congruences
0,1,76,0.1
1,2,28,0.14285714285714285
2,3,22,0.44
3,4,31,0.1
4,5,59,0.16
5,6,31,0.1891891891891892
6,7,107,0.2396694214876033
7,8,195,0.2
8,9,125,0.5428571428571428
9,10,55,0.45454545454545453
10,11,13,0.46153846153846156
11,12,49,0.46153846153846156
12,13,50,0.25925925925925924
13,14,11,0.23076923076923078
14,15,14,0.4594594594594595
15,16,43,0.16666666666666666
16,17,51,0.2857142857142857
17,18,163,0.13253012048192772
18,19,82,0.3333333333333333
19,20,53,0.4
20,21,22,1.0
21,22,4,1.0
22,23,11,0.3333333333333333
23,24,7,1.0
24,25,11,0.25
25,26,9,1.0
26,27,6,0.5
27,28,10,0.3333333333333333
28,29,3,0.3333333333333333
29,30,3,0.5
30,31,5,0.5
31,32,7,1.0
32,33,6,1.0
33,34,70,0.2777777777777778
34,35,12,0.3333333333333333
35,36,74,0.3333333333333333
36,37,63,0.29411764705882354
37,38,124,0.3877551020408163
38,39,98,0.4117647058823529
39,40,3,1.0
40,41,5,0.6
41,42,75,0.25
42,43,14,0.5
43,44,20,1.0
44,45,13,1.0
45,46,48,0.5
46,47,25,0.5
47,48,64,0.2
48,49,71,0.30434782608695654
49,50,12,0.6
50,51,69,0.5
51,52,5,1.0
52,53,3,1.0
53,54,6,1.0
54,55,2,1.0
55,56,29,0.3333333333333333
56,57,6,1.0
57,58,13,0.1
58,59,7,0.5
59,60,4,1.0
60,61,4,0.5
61,62,3,1.0
62,63,3,1.0
63,64,6,1.0
64,65,0,0.0
