,no_of_months,no_of_commits,congruences
0,1,2,1.0
1,2,38,0.5
2,3,13,0.3333333333333333
3,4,9,0.5
4,5,20,0.5
5,6,19,1.0
6,7,6,1.0
7,8,13,0.5
8,9,14,1.0
9,10,13,0.6
10,11,26,1.0
11,12,3,1.0
12,13,34,0.25
13,14,11,0.42857142857142855
14,15,12,0.5
15,16,7,1.0
16,17,20,1.0
17,18,8,0.25
18,19,20,0.3333333333333333
19,20,10,0.5
20,21,22,0.5
21,22,21,0.25
22,23,29,0.6
23,24,10,0.44
24,25,19,1.0
25,26,8,0.5555555555555556
26,27,5,1.0
27,28,6,1.0
28,29,26,0.4
29,30,7,0.5
30,31,13,0.5
31,32,9,0.4
32,33,8,0.6
33,34,5,1.0
34,35,8,0.5
35,36,11,0.5
36,37,7,0.5
37,38,44,0.3333333333333333
38,39,3,0.5
39,40,8,1.0
40,41,11,0.5
41,42,11,0.5
42,43,7,0.6
43,44,33,0.45454545454545453
44,45,13,1.0
45,46,12,0.6
46,47,4,1.0
47,48,13,1.0
48,49,6,1.0
49,50,17,0.6
50,51,14,0.5555555555555556
51,52,50,0.5
52,53,4,1.0
53,54,7,1.0
54,55,13,0.3333333333333333
55,56,14,0.5
56,57,3,0.5
57,58,20,0.25
58,59,4,0.5
59,60,2,1.0
60,61,5,1.0
61,62,21,1.0
62,63,16,0.6
63,64,12,0.6666666666666666
64,65,11,1.0
65,66,3,1.0
