,no_of_months,no_of_commits,congruences
0,1,211,0.46938775510204084
1,2,170,0.4074074074074074
2,3,186,0.3333333333333333
3,4,128,0.4925373134328358
4,5,197,0.536
5,6,79,0.30612244897959184
6,7,154,0.1794871794871795
7,8,91,0.29577464788732394
8,9,87,0.6686390532544378
9,10,50,0.5555555555555556
10,11,69,0.6111111111111112
11,12,192,0.4393305439330544
12,13,134,0.3333333333333333
13,14,39,0.5428571428571428
14,15,166,0.26811594202898553
15,16,70,0.45323741007194246
16,17,90,0.4
17,18,62,0.3582089552238806
18,19,66,0.48091603053435117
19,20,35,0.40384615384615385
20,21,92,0.35
21,22,166,0.380352644836272
22,23,205,0.436241610738255
23,24,76,0.504950495049505
24,25,84,0.5714285714285714
25,26,110,0.5087719298245614
26,27,79,0.5977011494252874
27,28,58,0.4594594594594595
28,29,61,0.45323741007194246
29,30,104,0.42788461538461536
30,31,56,0.5060975609756098
31,32,118,0.38666666666666666
32,33,133,0.5161290322580645
33,34,20,0.6078431372549019
34,35,73,0.4144144144144144
35,36,4,0.6666666666666666
36,37,6,0.7142857142857143
37,38,67,0.5760869565217391
38,39,52,0.43891402714932126
39,40,67,0.508274231678487
40,41,37,0.2830188679245283
41,42,59,0.47058823529411764
42,43,110,0.4470588235294118
43,44,56,0.41284403669724773
44,45,65,0.5529411764705883
45,46,93,0.6208053691275168
46,47,64,0.29707112970711297
47,48,76,0.32644628099173556
48,49,80,0.3404255319148936
49,50,63,0.45454545454545453
50,51,30,0.4426229508196721
51,52,45,0.38650306748466257
52,53,68,0.48792270531400966
53,54,73,0.4573643410852713
54,55,42,0.43859649122807015
55,56,8,0.7777777777777778
56,57,38,0.5789473684210527
57,58,41,0.5733333333333334
58,59,50,0.5333333333333333
59,60,44,0.4177215189873418
60,61,11,1.0
61,62,43,0.4827586206896552
62,63,3,0.3333333333333333
63,64,37,0.6
64,65,2,1.0
65,66,32,0.4444444444444444
66,67,12,0.5555555555555556
67,68,19,0.7142857142857143
68,69,2,0.5
69,70,2,0.5
70,71,2,1.0
71,72,81,0.4666666666666667
72,73,77,0.4049586776859504
73,74,63,0.43243243243243246
74,75,51,0.3739130434782609
75,76,2,1.0
76,77,41,0.6363636363636364
77,78,72,0.4573643410852713
78,79,62,0.4117647058823529
79,80,2,1.0
80,81,69,0.348993288590604
81,82,38,0.4766355140186916
82,83,30,0.5342465753424658
83,84,44,0.5968992248062015
84,85,52,0.5714285714285714
85,86,32,0.4482758620689655
86,87,47,0.4716981132075472
87,88,39,0.6041666666666666
88,89,46,0.3815789473684211
89,90,48,0.41798941798941797
90,91,3,1.0
91,92,43,0.6216216216216216
92,93,33,0.6129032258064516
93,94,19,0.6521739130434783
94,95,2,1.0
95,96,59,0.42857142857142855
96,97,81,0.5209580838323353
97,98,64,0.3496932515337423
98,99,36,0.4918032786885246
99,100,55,0.4147727272727273
100,101,79,0.5033557046979866
101,102,64,0.42124542124542125
102,103,58,0.43089430894308944
103,104,44,0.26436781609195403
104,105,70,0.33986928104575165
105,106,70,0.4095940959409594
106,107,4,1.0
