,no_of_months,no_of_commits,congruences
0,1,21,0.5
1,2,17,0.5
2,3,21,0.6
3,4,6,0.3333333333333333
4,5,5,1.0
5,6,2,0.5
6,7,2,1.0
7,8,2,1.0
8,9,9,1.0
9,10,20,1.0
10,11,11,1.0
11,12,3,1.0
12,13,2,1.0
13,14,5,1.0
14,15,2,1.0
15,16,3,1.0
16,17,7,1.0
17,18,53,0.5
18,19,13,1.0
19,20,82,0.5
20,21,189,0.5
21,22,7,1.0
22,23,66,0.3333333333333333
23,24,79,0.5
24,25,29,0.3333333333333333
25,26,6,1.0
26,27,28,1.0
27,28,53,1.0
28,29,11,1.0
29,30,8,1.0
30,31,69,0.5
31,32,2,1.0
32,33,5,1.0
33,34,5,1.0
34,35,2,1.0
35,36,6,1.0
36,37,23,0.5
37,38,4,1.0
38,39,3,0.5
39,40,4,1.0
40,41,3,1.0
41,42,4,1.0
42,43,0,0.0
