,no_of_months,no_of_commits,congruences
0,1,93,0.46938775510204084
1,2,145,0.38461538461538464
2,3,91,0.4375
3,4,34,0.3333333333333333
4,5,41,0.5
5,6,32,0.4
6,7,44,0.5
7,8,54,0.36
8,9,37,0.25
9,10,36,0.5555555555555556
10,11,40,0.5
11,12,14,0.5
12,13,32,0.5
13,14,36,1.0
14,15,7,0.5
15,16,19,0.125
16,17,13,0.25
17,18,19,0.2
18,19,17,0.4
19,20,36,0.25
20,21,40,0.25
21,22,45,0.25
22,23,83,0.25
23,24,52,0.25
24,25,65,0.2
25,26,59,0.25
26,27,51,0.25
27,28,61,0.25
28,29,34,0.36
29,30,36,0.25
30,31,51,0.2
31,32,37,0.14285714285714285
32,33,66,0.2
33,34,34,0.3333333333333333
34,35,47,0.2
35,36,45,0.30612244897959184
36,37,42,0.16666666666666666
37,38,19,0.16666666666666666
38,39,47,0.1111111111111111
39,40,50,0.08235294117647059
40,41,31,0.13846153846153847
41,42,19,0.14285714285714285
42,43,36,0.16666666666666666
43,44,60,0.125
44,45,65,0.125
45,46,48,0.16666666666666666
46,47,29,0.2
47,48,44,0.1111111111111111
48,49,21,0.125
49,50,23,0.18518518518518517
50,51,15,0.2
51,52,14,0.25
52,53,23,0.16666666666666666
53,54,13,0.2
54,55,7,0.16666666666666666
55,56,4,0.3333333333333333
56,57,8,0.25
57,58,2,1.0
58,59,3,0.5
59,60,4,1.0
60,61,2,0.5
