,no_of_months,no_of_commits,congruences
0,1,5,0.3333333333333333
1,2,23,0.6666666666666666
2,3,17,0.5
3,4,12,0.3333333333333333
4,5,6,1.0
5,6,3,1.0
6,7,21,0.5510204081632653
7,8,9,1.0
8,9,5,1.0
9,10,3,1.0
10,11,8,0.5
11,12,6,1.0
12,13,5,0.6666666666666666
13,14,14,0.5
14,15,14,0.42857142857142855
15,16,4,1.0
16,17,6,0.5
17,18,3,1.0
18,19,10,0.42857142857142855
19,20,4,1.0
20,21,6,1.0
21,22,11,0.6666666666666666
22,23,9,0.6
23,24,2,1.0
24,25,10,0.6
25,26,12,0.5555555555555556
26,27,16,0.6
27,28,10,1.0
28,29,2,1.0
29,30,8,0.5
30,31,3,1.0
31,32,3,0.6
32,33,6,1.0
33,34,3,1.0
34,35,2,1.0
35,36,12,0.3333333333333333
36,37,0,0.0
