,no_of_months,no_of_commits,congruences
0,1,42,0.2222222222222222
1,2,157,0.28125
2,3,76,0.25
3,4,95,0.5
4,5,57,0.38461538461538464
5,6,29,0.42857142857142855
6,7,14,0.6666666666666666
7,8,11,0.5
8,9,47,0.3333333333333333
9,10,20,0.3333333333333333
10,11,55,0.3333333333333333
11,12,31,0.5555555555555556
12,13,19,0.3333333333333333
13,14,14,1.0
14,15,18,0.42857142857142855
15,16,56,0.25
16,17,18,1.0
17,18,2,1.0
18,19,3,1.0
19,20,17,0.25
20,21,25,0.4
21,22,6,0.6
22,23,4,1.0
23,24,4,1.0
24,25,2,1.0
25,26,8,1.0
26,27,20,1.0
27,28,2,1.0
28,29,2,1.0
29,30,3,1.0
30,31,10,1.0
31,32,4,1.0
32,33,7,1.0
33,34,5,1.0
34,35,5,1.0
35,36,3,1.0
36,37,2,1.0
37,38,2,1.0
