,no_of_months,no_of_commits,congruences
0,0,34,0.2621359223300971
1,1,19,0.20930232558139536
2,2,4,0.1836734693877551
3,3,12,0.2222222222222222
4,4,45,0.31645569620253167
5,5,23,0.3472222222222222
6,6,13,0.2111111111111111
7,7,29,0.3333333333333333
8,8,33,0.3298429319371728
9,9,36,0.1656441717791411
10,10,4,0.18620689655172415
11,11,23,0.20812182741116753
12,12,30,0.1615720524017467
13,13,11,0.24074074074074073
14,14,34,0.31221719457013575
15,15,8,0.4597156398104265
16,16,21,0.26501766784452296
17,17,13,0.07142857142857142
18,18,11,0.11418685121107267
19,19,2,0.19469026548672566
20,20,8,0.2268041237113402
21,21,73,0.2578125
22,22,38,0.1242603550295858
23,23,27,0.20408163265306123
24,24,12,0.13609467455621302
25,25,19,0.11627906976744186
26,26,35,0.3170731707317073
27,27,51,0.1796875
28,28,37,0.17699115044247787
29,29,44,0.26517571884984026
30,30,8,0.2474747474747475
31,31,28,0.22562674094707522
32,32,80,0.28
33,33,66,0.2440944881889764
34,34,60,0.3117206982543641
35,35,62,0.2644628099173554
36,36,31,0.18556701030927836
37,37,334,0.5162790697674419
38,38,43,0.3380035026269702
39,39,29,0.3655705996131528
40,40,104,0.10037174721189591
41,41,53,0.23624595469255663
42,42,35,0.295
43,43,12,0.24497991967871485
44,44,12,0.287292817679558
45,45,10,0.1001890359168242
46,46,54,0.0684931506849315
47,47,50,0.22437673130193905
48,48,22,0.10946745562130178
49,49,56,0.10543130990415335
50,50,98,0.10566037735849057
51,51,48,0.06072874493927125
52,52,42,0.2809667673716012
53,53,61,0.037037037037037035
54,54,42,0.041666666666666664
55,55,53,0.16869565217391305
56,56,46,0.06206896551724138
57,57,30,0.11805555555555555
58,58,48,0.20199501246882792
59,59,125,0.1572700296735905
60,60,130,0.16129032258064516
61,61,147,0.10543130990415335
62,62,140,0.20718232044198895
63,63,106,0.1807465618860511
64,64,91,0.2539109506618532
65,65,124,0.14137214137214138
66,66,128,0.20334928229665072
67,67,90,0.14090019569471623
68,68,53,0.3416666666666667
69,69,59,0.19696969696969696
70,70,80,0.1659919028340081
71,71,62,0.2359882005899705
72,72,89,0.2732673267326733
73,73,95,0.2882882882882883
74,74,83,0.1442495126705653
75,75,85,0.03333333333333333
76,76,64,0.2799208704253215
77,77,42,0.1256931608133087
78,78,78,0.11213235294117647
79,79,73,0.25022914757103576
80,80,120,0.08139534883720931
81,81,159,0.21253672869735554
82,82,103,0.08319738988580751
83,83,91,0.035269709543568464
84,84,94,0.3113278319579895
85,85,151,0.21301020408163265
86,86,79,0.19637883008356546
87,87,104,0.15783204288266825
88,88,112,0.3224789915966387
89,89,90,0.16034985422740525
90,90,115,0.26919967663702504
91,91,194,0.21153846153846154
92,92,160,0.2610601833399761
93,93,174,0.29228775113415423
94,94,320,0.2897674418604651
95,95,235,0.27142411966344654
96,96,242,0.23884694577899795
97,97,197,0.32397075798383995
98,98,153,0.3553398058252427
99,99,113,0.428706774040739
